"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"d:\QueueUpBot\QueueUpBot\commands\setchannel.js", "JavaScript", 33, 0, 3, 8, 44
"d:\QueueUpBot\QueueUpBot\commands\setqueuemessage.js", "JavaScript", 36, 0, 4, 5, 45
"d:\QueueUpBot\QueueUpBot\commands\setvc.js", "JavaScript", 34, 0, 3, 8, 45
"d:\QueueUpBot\QueueUpBot\commands\start.js", "JavaScript", 27, 0, 2, 8, 37
"d:\QueueUpBot\QueueUpBot\deploy-commands.js", "JavaScript", 29, 0, 0, 7, 36
"d:\QueueUpBot\QueueUpBot\index.js", "JavaScript", 93, 0, 4, 19, 116
"d:\QueueUpBot\QueueUpBot\models\Config.js", "JavaScript", 20, 0, 0, 2, 22
"d:\QueueUpBot\QueueUpBot\models\Player.js", "JavaScript", 29, 0, 0, 4, 33
"d:\QueueUpBot\QueueUpBot\package-lock.json", "JSON", 0, 506, 0, 1, 507
"d:\QueueUpBot\QueueUpBot\package.json", "JSON", 0, 9, 0, 1, 10
"d:\QueueUpBot\QueueUpBot\src\customManager.js", "JavaScript", 181, 0, 21, 32, 234
"d:\QueueUpBot\QueueUpBot\src\discordUtils.js", "JavaScript", 104, 0, 0, 11, 115
"d:\QueueUpBot\QueueUpBot\src\draftManager.js", "JavaScript", 84, 0, 1, 11, 96
"d:\QueueUpBot\QueueUpBot\src\draft\draftLol.js", "JavaScript", 48, 0, 0, 6, 54
"d:\QueueUpBot\QueueUpBot\src\draft\voteCaptain.js", "JavaScript", 189, 0, 1, 27, 217
"d:\QueueUpBot\QueueUpBot\src\draft\voteTeam.js", "JavaScript", 229, 0, 5, 42, 276
"d:\QueueUpBot\QueueUpBot\src\messages.js", "JavaScript", 252, 0, 9, 50, 311
"d:\QueueUpBot\QueueUpBot\src\playerManager.js", "JavaScript", 17, 0, 0, 4, 21
"Total", "-", 1405, 515, 53, 246, 2219
